user_id,signup_date,status,age,city,salary
U00001,2024-02-30,inactive,30,Delhi,115046
U00002,2024-05-27 00:00:00,inactive,45,Mumbai,42788
U00003,2024-10-17 00:00:00,active,64,Phoenix,32366
U00004,2024-10-26 00:00:00,inactive,24,Mumbai,59417
U00005,2024-06-17 00:00:00,inactive,54,New York,103036
U00006,2024-01-28 00:00:00,inactive,41,Phoenix,62720
U00007,2024-03-16 00:00:00,inactive,26,Chicago,96926
U00008,2024-08-22 00:00:00,inactive,22,New York,30217
U00009,2024-06-24 00:00:00,active,33,Phoenix,32206
U00010,2024-01-05 00:00:00,active,31,Delhi,N/A
U00011,2024-09-03 00:00:00,active,26,Delhi,58467
U00012,2024-02-23 00:00:00,inactive,20,Houston,90479
U00013,2024-06-21 00:00:00,inactive,25,Phoenix,52972
U00014,2024-02-22 00:00:00,inactive,49,Delhi,48873
U00015,2024-05-04 00:00:00,active,49,New York,102536
U00016,2024-07-31 00:00:00,inactive,58,Mumbai,60118
U00017,2024-04-06 00:00:00,inactive,57,Los Angeles,51322
U00018,2024-10-15 00:00:00,inactive,54,Los Angeles,71010
U00019,2024-08-27 00:00:00,active,38,Mumbai,68696
U00020,2024-05-02 00:00:00,active,58,Mumbai,71381
U00021,2024-03-13 00:00:00,active,65,Los Angeles,39172
U00022,2024-10-26 00:00:00,inactive,32,Delhi,21610
U00023,2024-05-12 00:00:00,active,37,Delhi,59821
U00024,2024-12-11 00:00:00,inactive,36,Phoenix,44582
U00025,2024-08-11 00:00:00,inactive,56,Mumbai,108749
U00026,2024-05-17 00:00:00,active,43,New York,75662
U00027,2024-03-08 00:00:00,active,26,Delhi,58213
U00028,2024-09-13 00:00:00,active,40,Los Angeles,66863
U00029,2024-09-22 00:00:00,active,51,London,28893
U00030,2024-10-17 00:00:00,inactive,50,London,90949
U00031,2024-04-16 00:00:00,active,51,Delhi,22799
U00032,2024-06-12 00:00:00,active,27,New York,47679
U00033,2024-09-09 00:00:00,active,63,Mumbai,48573
U00034,2024-01-14 00:00:00,inactive,27,Mumbai,111073
U00035,2024-11-10 00:00:00,inactive,46,Houston,49196
U00036,2024-08-17 00:00:00,inactive,55,Los Angeles,96414
U00037,2024-11-26 00:00:00,active,47,Phoenix,67301
U00038,2024-08-18 00:00:00,active,34,London,49206
U00039,2024-02-15 00:00:00,inactive,27,Chicago,42568
U00040,2024-05-09 00:00:00,active,56,New York,64832
U00041,2024-03-02 00:00:00,active,23,Chicago,41103
U00042,2024-11-22 00:00:00,active,31,Mumbai,54834
U00043,2024-08-01 00:00:00,inactive,65,Mumbai,71079
U00044,2024-02-26 00:00:00,inactive,40,London,81699
U00045,2024-05-06 00:00:00,inactive,,London,100251
U00046,2024-01-24 00:00:00,inactive,32,Chicago,66298
U00047,2024-02-19 00:00:00,active,48,Phoenix,46005
U00048,2024-10-25 00:00:00,active,57,New York,112131
U00049,2024-01-11 00:00:00,active,40,Delhi,58837
U00050,2024-07-24 00:00:00,inactive,50,London,95542
U00051,2024-05-15 00:00:00,active,25,Los Angeles,70122
U00052,2024-10-31 00:00:00,inactive,26,Houston,87745
U00053,2024-08-12 00:00:00,active,62,Los Angeles,57560
U00054,2024-01-12 00:00:00,inactive,63,Phoenix,117524
U00055,2024-11-15 00:00:00,inactive,47,Mumbai,69895
U00056,2024-09-03 00:00:00,active,44,Los Angeles,40749
U00057,2024-12-11 00:00:00,inactive,42,Phoenix,42452
U00058,2024-12-24 00:00:00,inactive,29,New York,52527
U00059,2024-03-06 00:00:00,active,46,Chicago,71913
U00060,2024-08-03 00:00:00,active,28,Mumbai,86159
U00061,2024-01-15 00:00:00,inactive,40,Los Angeles,61578
U00062,2024-03-20 00:00:00,active,54,Los Angeles,65329
U00063,2024-04-17 00:00:00,inactive,49,Chicago,85676
U00064,2024-11-16 00:00:00,active,37,New York,114527
U00065,2024-10-12 00:00:00,inactive,63,Mumbai,115464
U00066,2024-07-19 00:00:00,active,21,Chicago,86880
U00067,2024-04-10 00:00:00,inactive,33,New York,63463
U00068,2024-03-16 00:00:00,active,41,Los Angeles,25242
U00069,2024-10-21 00:00:00,inactive,44,Mumbai,101480
U00070,2024-02-05 00:00:00,active,21,Chicago,N/A
U00071,2024-10-10 00:00:00,active,21,Phoenix,82652
U00072,2024-06-17 00:00:00,active,65,Delhi,106948
U00073,2024-07-28 00:00:00,inactive,42,Delhi,87000
U00074,2024-05-03 00:00:00,active,55,Mumbai,45311
U00075,2024-04-28 00:00:00,active,27,Los Angeles,22928
U00076,2024-10-21 00:00:00,active,46,Delhi,N/A
U00077,2024-09-23 00:00:00,inactive,37,Chicago,N/A
U00078,2024-03-30 00:00:00,active,65,Chicago,53365
U00079,2024-11-06 00:00:00,active,59,London,85632
U00080,2024-02-19 00:00:00,active,59,Houston,68791
U00081,2024-10-13 00:00:00,inactive,38,Phoenix,28113
U00082,2024-09-03 00:00:00,active,52,Phoenix,61721
U00083,2024-01-14 00:00:00,inactive,35,Mumbai,53821
U00084,2024-07-27 00:00:00,inactive,34,Phoenix,42826
U00085,2024-10-22 00:00:00,inactive,59,Los Angeles,39995
U00086,2024-06-19 00:00:00,inactive,38,London,25034
U00087,2024-03-05 00:00:00,inactive,28,New York,50444
U00088,2024-10-22 00:00:00,inactive,62,New York,70352
U00089,2024-01-27 00:00:00,active,51,London,N/A
U00090,2024-02-15 00:00:00,inactive,31,Delhi,N/A
U00091,2024-07-07 00:00:00,inactive,54,Chicago,100020
U00092,2024-06-18 00:00:00,active,56,Mumbai,82945
U00093,2024-01-30 00:00:00,inactive,37,Mumbai,75811
U00094,2024-11-20 00:00:00,active,57,Los Angeles,95483
U00095,2024-11-25 00:00:00,inactive,30,New York,55819
U00096,2024-03-31 00:00:00,active,26,Los Angeles,84890
U00097,2024-10-09 00:00:00,inactive,39,New York,94049
U00098,2024-05-18 00:00:00,active,30,Los Angeles,20044
